PLOTID,QuadrantID,Landscape_type,Landscape_type_2,Plot_type,Plot_type_2,Landscape_Plot,BIN_Richness,RL_Richness,BIN_Coleoptera,BIN_Diptera,BIN_Hemiptera,BIN_Hymenoptera,BIN_Lepidoptera,BIN_Orthoptera,BIN_Rest,Visit,Date start,Date end,Day start,Day end,Day mean,Duration,Biomass,Biomass_per_day,Excluded,Average_temperature,Average_humidity,Long-Term Mean Annual Precipitation,Long-Term Mean Annual Average Near Surface Temperature,point_x,point_y,Elevation
5636_4_A,5636_4,Agricultural,b,arable field,c,b_c,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,8252333333,7761111111,3696825023,5580568146,562
5636_4_A,5636_4,Agricultural,b,arable field,c,b_c,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10.04.2019,16.05.2019,100,136,118,36,"8,98","0,25",0,7187474099,7487391104,8252333333,7761111111,3696825023,5580568146,562
5636_4_A,5636_4,Agricultural,b,arable field,c,b_c,311,5,24,209,5,54,12,1,3,5,16.05.2019,31.05.2019,136,151,1435,15,"17,65","1,176666667",0,1165239063,8410139063,8252333333,7761111111,3696825023,5580568146,562
5636_4_A,5636_4,Agricultural,b,arable field,c,b_c,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,31.05.2019,15.06.2019,151,166,1585,15,"37,33","2,49",0,174561276,7609760417,8252333333,7761111111,3696825023,5580568146,562
5636_4_A,5636_4,Agricultural,b,arable field,c,b_c,291,8,19,150,4,64,36,9,5,7,15.06.2019,06.07.2019,166,187,1765,21,"117,8","5,60952381",0,1903589583,6761381439,8252333333,7761111111,3696825023,5580568146,562
5636_4_A,5636_4,Agricultural,b,arable field,c,b_c,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,06.07.2019,20.07.2019,187,201,194,14,"54,38","3,88",0,1506929444,7633343333,8252333333,7761111111,3696825023,5580568146,562
5636_4_A,5636_4,Agricultural,b,arable field,c,b_c,474,13,33,231,16,117,51,11,7,9,20.07.2019,04.08.2019,201,216,2085,15,"91,21","6,08",0,195572526,724330625,8252333333,7761111111,3696825023,5580568146,562
5636_4_A,5636_4,Agricultural,b,arable field,c,b_c,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,04.08.2019,19.08.2019,216,231,2235,15,"40,51","2,7",0,168381276,7894554688,8252333333,7761111111,3696825023,5580568146,562
5636_4_F,5636_4,Agricultural,b,forest,a,b_a,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,8464,7490277778,37002325,5578926065,614
5636_4_F,5636_4,Agricultural,b,forest,a,b_a,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,26.04.2019,16.05.2019,116,136,126,20,"7,33","0,37",0,7534605159,8017905357,8464,7490277778,37002325,5578926065,614
5636_4_F,5636_4,Agricultural,b,forest,a,b_a,458,5,32,290,7,90,26,3,5,5,16.05.2019,31.05.2019,136,151,1435,15,"25,92","1,728",0,1295019271,7892176823,8464,7490277778,37002325,5578926065,614
5636_4_F,5636_4,Agricultural,b,forest,a,b_a,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,31.05.2019,15.06.2019,151,166,1585,15,"62,82","4,19",0,193853724,6829436979,8464,7490277778,37002325,5578926065,614
5636_4_F,5636_4,Agricultural,b,forest,a,b_a,387,11,16,198,2,71,82,4,8,7,15.06.2019,06.07.2019,166,187,1765,21,"198,4","9,447619048",0,2110126705,5979304545,8464,7490277778,37002325,5578926065,614
5636_4_F,5636_4,Agricultural,b,forest,a,b_a,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,06.07.2019,20.07.2019,187,201,194,14,"27,13","1,94",0,1652929444,7139455,8464,7490277778,37002325,5578926065,614
5636_4_F,5636_4,Agricultural,b,forest,a,b_a,430,10,18,229,12,99,49,4,8,9,20.07.2019,04.08.2019,201,216,2085,15,"93,12","6,21",0,211029375,6648167448,8464,7490277778,37002325,5578926065,614
5636_4_F,5636_4,Agricultural,b,forest,a,b_a,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,04.08.2019,19.08.2019,216,231,2235,15,"21,98","1,47",0,1771772917,7607216406,8464,7490277778,37002325,5578926065,614
5636_4_G,5636_4,Agricultural,b,meadow,b,b_b,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,10.04.2019,02.05.2019,100,122,111,22,"3,57","0,16",0,9319778986,6920669203,8032,7681666667,3700131311,5580679993,551
5636_4_G,5636_4,Agricultural,b,meadow,b,b_b,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,02.05.2019,16.05.2019,122,136,129,14,"1,38","0,1",0,6952555556,7907782778,8032,7681666667,3700131311,5580679993,551
5636_4_G,5636_4,Agricultural,b,meadow,b,b_b,238,4,28,148,3,40,8,0,6,5,16.05.2019,31.05.2019,136,151,1435,15,"12,57","0,838",0,1293307031,7857261719,8032,7681666667,3700131311,5580679993,551
5636_4_G,5636_4,Agricultural,b,meadow,b,b_b,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,31.05.2019,15.06.2019,151,166,1585,15,"27,39","1,83",0,1940338542,6824966927,8032,7681666667,3700131311,5580679993,551
5636_4_G,5636_4,Agricultural,b,meadow,b,b_b,281,6,16,156,8,43,37,6,12,7,15.06.2019,06.07.2019,166,187,1765,21,"63,8","3,038095238",0,2096721212,5970224811,8032,7681666667,3700131311,5580679993,551
5636_4_G,5636_4,Agricultural,b,meadow,b,b_b,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,06.07.2019,20.07.2019,187,201,194,14,"28,11","2,01",0,1682324722,7031095833,8032,7681666667,3700131311,5580679993,551
5636_4_G,5636_4,Agricultural,b,meadow,b,b_b,211,6,7,111,10,36,25,7,10,9,20.07.2019,04.08.2019,201,216,2085,15,"29,48","1,97",0,210828776,6763895052,8032,7681666667,3700131311,5580679993,551
5636_4_G,5636_4,Agricultural,b,meadow,b,b_b,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,04.08.2019,19.08.2019,216,231,2235,15,"17,94","1,2",0,1834729948,751545026,8032,7681666667,3700131311,5580679993,551
